Source,Target,Value
AcceptedCmp1_0,AcceptedCmp2_0,2057
AcceptedCmp1_0,AcceptedCmp2_1,17
AcceptedCmp1_1,AcceptedCmp2_0,129
AcceptedCmp1_1,AcceptedCmp2_1,13
AcceptedCmp2_0,AcceptedCmp3_0,2030
AcceptedCmp2_0,AcceptedCmp3_1,156
AcceptedCmp2_1,AcceptedCmp3_0,23
AcceptedCmp2_1,AcceptedCmp3_1,7
AcceptedCmp3_0,AcceptedCmp4_0,1889
AcceptedCmp3_0,AcceptedCmp4_1,164
AcceptedCmp3_1,AcceptedCmp4_0,163
AcceptedCmp4_0,AcceptedCmp5_0,1949
AcceptedCmp4_0,AcceptedCmp5_1,103
AcceptedCmp4_1,AcceptedCmp5_0,105
AcceptedCmp4_1,AcceptedCmp5_1,59
AcceptedCmp5_0,Response_0,1812
AcceptedCmp5_0,Response_1,242
AcceptedCmp5_1,Response_0,71
AcceptedCmp5_1,Response_1,91
